Region,Crop,Year,Production_Tonnes,Population
Region_001,Barley,2021,83115,382722
Region_001,Barley,2021,157166,652673
Region_001,Barley,2021,147883,535157
Region_001,Barley,2021,96546,213321
Region_001,Barley,2022,145673,437832
Region_001,Barley,2022,188881,770226
Region_001,Barley,2022,146183,768843
Region_001,Barley,2022,103433,1000000
Region_001,Barley,2023,176907,222688
Region_001,Barley,2023,136076,262500
Region_001,Barley,2023,191579,93487
Region_001,Barley,2023,82116,874413
Region_001,Barley,2024,141326,167931
Region_001,Barley,2024,156571,692420
Region_001,Barley,2024,146834,564630
Region_001,Barley,2024,136317,162185
Region_001,Sorghum,2010,160405,472175
Region_001,Sorghum,2010,172589,144548
Region_001,Sorghum,2010,77053,559716
Region_001,Sorghum,2010,118325,458789
Region_001,Sorghum,2011,95825,675467
Region_001,Sorghum,2011,132072,521057
Region_001,Sorghum,2011,85275,436420
Region_001,Sorghum,2011,82857,180220
Region_001,Sorghum,2012,128141,475182
Region_001,Sorghum,2012,66908,329545
Region_001,Sorghum,2012,92417,783708
Region_001,Sorghum,2012,46534,365792
Region_001,Sorghum,2013,115841,716858
Region_001,Sorghum,2013,79007,828624
Region_001,Sorghum,2013,112231,197823
Region_001,Sorghum,2013,117298,874824
Region_001,Sorghum,2014,136699,745092
Region_001,Sorghum,2014,142853,346958
Region_001,Sorghum,2014,58826,902902
Region_001,Sorghum,2014,40763,57078
Region_001,Sorghum,2015,114678,113873
Region_001,Sorghum,2015,152717,372409
Region_001,Sorghum,2015,120143,774855
Region_001,Sorghum,2015,122229,998579
Region_001,Sorghum,2016,109730,193959
Region_001,Sorghum,2016,118633,840964
Region_001,Sorghum,2016,103526,61933
Region_001,Sorghum,2016,93763,665468
Region_001,Sorghum,2017,172916,549397
Region_001,Sorghum,2017,88313,352007
Region_001,Sorghum,2017,110176,620936
Region_001,Sorghum,2017,183891,367156
Region_001,Sorghum,2018,133779,639999
Region_001,Sorghum,2018,119322,935183
Region_001,Sorghum,2018,75283,382731
Region_001,Sorghum,2018,112606,184891
Region_001,Sorghum,2019,114731,757214
Region_001,Sorghum,2019,79888,707415
Region_001,Sorghum,2019,193184,53736
Region_001,Sorghum,2019,196140,857123
Region_001,Sorghum,2020,223308,918941
Region_001,Sorghum,2020,179378,431529
Region_001,Sorghum,2020,210846,212519
Region_001,Sorghum,2020,166340,123279
Region_001,Sorghum,2021,238890,145436
Region_001,Sorghum,2021,167729,884968
Region_001,Sorghum,2021,126962,515407
Region_001,Sorghum,2021,134166,826959
Region_001,Sorghum,2022,147857,1000000
Region_001,Sorghum,2022,93128,953724
Region_001,Sorghum,2022,83767,118307
Region_001,Sorghum,2022,212096,56595
Region_001,Sorghum,2023,133564,860897
Region_001,Sorghum,2023,103277,211957
Region_001,Sorghum,2023,162817,692255
Region_001,Sorghum,2023,208674,662388
Region_001,Sorghum,2024,131656,353132
Region_001,Sorghum,2024,44101,446592
Region_001,Sorghum,2024,196991,354765
Region_001,Sorghum,2024,154393,900417
Region_001,Millet,2010,120090,159021
Region_001,Millet,2010,144300,295299
Region_001,Millet,2010,64983,706629
Region_001,Millet,2010,119615,324675
Region_001,Millet,2011,150075,359225
Region_001,Millet,2011,34704,445087
Region_001,Millet,2011,500,456573
Region_001,Millet,2011,117079,138374
Region_001,Millet,2012,95832,654638
Region_001,Millet,2012,114755,150653
Region_001,Millet,2012,75359,788673
Region_001,Millet,2012,120232,343879
Region_001,Millet,2013,181810,385095
Region_001,Millet,2013,9616,817180
Region_001,Millet,2013,62484,962509
Region_001,Millet,2013,129167,422495
Region_001,Millet,2014,58962,933272
Region_001,Millet,2014,40009,601696
Region_001,Millet,2014,7682,783537
Region_001,Millet,2014,130426,223873
Region_001,Millet,2015,173416,409167
Region_001,Millet,2015,62081,666709
Region_001,Millet,2015,132951,290105
Region_001,Millet,2015,73354,595585
Region_001,Millet,2016,71293,525519
Region_001,Millet,2016,61553,117164
Region_001,Millet,2016,61191,546368
Region_001,Millet,2016,81738,518912
Region_001,Millet,2017,72131,346877
Region_001,Millet,2017,195752,803025
Region_001,Millet,2017,49375,461429
Region_001,Millet,2017,139880,94036
Region_001,Millet,2018,46050,371087
Region_001,Millet,2018,127000,912667
Region_001,Millet,2018,86849,1000000
Region_001,Millet,2018,99503,161845
Region_001,Millet,2019,22006,411725
Region_001,Millet,2019,76414,476890
Region_001,Millet,2019,79438,609502
Region_001,Millet,2019,172433,649330
Region_001,Millet,2020,76570,1000000
Region_001,Millet,2020,151260,279709
Region_001,Millet,2020,117886,556155
Region_001,Millet,2020,500,613735
Region_001,Millet,2021,132891,713812
Region_001,Millet,2021,111098,664730
Region_001,Millet,2021,11955,956136
Region_001,Millet,2021,69097,532858
Region_001,Millet,2022,58168,465876
Region_001,Millet,2022,71246,435492
Region_001,Millet,2022,66929,611144
Region_001,Millet,2022,134730,1000000
Region_001,Millet,2023,105669,778000
Region_001,Millet,2023,112003,1000000
Region_001,Millet,2023,94688,450504
Region_001,Millet,2023,54588,358300
Region_001,Millet,2024,177578,504822
Region_001,Millet,2024,40831,96764
Region_001,Millet,2024,93578,625509
Region_001,Millet,2024,171660,899777
Region_001,Pulses,2010,38603,846071
Region_001,Pulses,2010,9307,956141
Region_001,Pulses,2010,34225,979277
Region_001,Pulses,2010,500,634866
Region_001,Pulses,2011,500,363182
Region_001,Pulses,2011,62525,598675
Region_001,Pulses,2011,66397,515382
Region_001,Pulses,2011,50334,183871
Region_001,Pulses,2012,77251,517552
Region_001,Pulses,2012,69263,168831
Region_001,Pulses,2012,111962,278726
Region_001,Pulses,2012,50748,592447
Region_001,Pulses,2013,71905,51826
Region_001,Pulses,2013,91597,476855
Region_001,Pulses,2013,113854,407720
Region_001,Pulses,2013,115393,441449
Region_001,Pulses,2014,75812,333323
Region_001,Pulses,2014,8277,625670
Region_001,Pulses,2014,49990,635075
Region_001,Pulses,2014,167347,282236
Region_001,Pulses,2015,35326,624105
Region_001,Pulses,2015,113936,372140
Region_001,Pulses,2015,10995,300581
Region_001,Pulses,2015,84547,542346
Region_001,Pulses,2016,91628,977009
Region_001,Pulses,2016,80954,98284
Region_001,Pulses,2016,58234,667475
Region_001,Pulses,2016,61109,1000000
Region_001,Pulses,2017,122282,780804
Region_001,Pulses,2017,94954,628738
Region_001,Pulses,2017,111980,410964
Region_001,Pulses,2017,30708,940675
Region_001,Pulses,2018,55274,693212
Region_001,Pulses,2018,142002,573536
Region_001,Pulses,2018,7315,549783
Region_001,Pulses,2018,74728,372869
Region_001,Pulses,2019,98636,158160
Region_001,Pulses,2019,102868,556825
Region_001,Pulses,2019,105083,500290
Region_001,Pulses,2019,80667,408514
Region_001,Pulses,2020,80502,448928
Region_001,Pulses,2020,116282,500816
Region_001,Pulses,2020,22542,405113
Region_001,Pulses,2020,71967,732157
Region_001,Pulses,2021,159928,648547
Region_001,Pulses,2021,111956,778154
Region_001,Pulses,2021,42895,326715
Region_001,Pulses,2021,113674,807993
Region_001,Pulses,2022,124517,752099
Region_001,Pulses,2022,52299,53348
Region_001,Pulses,2022,13170,472793
Region_001,Pulses,2022,139891,193780
Region_001,Pulses,2023,13405,782901
Region_001,Pulses,2023,110123,646632
Region_001,Pulses,2023,11924,867766
Region_001,Pulses,2023,91103,170268
Region_001,Pulses,2024,91410,789596
Region_001,Pulses,2024,32855,442946
Region_001,Pulses,2024,42373,69317
Region_001,Pulses,2024,57469,914124
Region_001,Cassava,2010,145690,534805
Region_001,Cassava,2010,135200,536401
Region_001,Cassava,2010,102286,129461
Region_001,Cassava,2010,34123,447854
Region_001,Cassava,2011,183879,879527
Region_001,Cassava,2011,159050,304022
Region_001,Cassava,2011,185138,338983
Region_001,Cassava,2011,26517,432531
Region_001,Cassava,2012,119486,683081
Region_001,Cassava,2012,204158,60276
Region_001,Cassava,2012,47571,193054
Region_001,Cassava,2012,92408,873932
Region_001,Cassava,2013,68622,87459
Region_001,Cassava,2013,109529,539430
Region_001,Cassava,2013,80035,496872
Region_001,Cassava,2013,81527,646530
Region_001,Cassava,2014,81693,521244
Region_001,Cassava,2014,125718,112007
Region_001,Cassava,2014,106074,409029
Region_001,Cassava,2014,12332,312432
Region_001,Cassava,2015,170014,78835
Region_001,Cassava,2015,129482,917747
Region_001,Cassava,2015,80255,288863
Region_001,Cassava,2015,128131,181617
Region_001,Cassava,2016,126949,647398
Region_001,Cassava,2016,146266,411301
Region_001,Cassava,2016,154861,542463
Region_001,Cassava,2016,56368,884442
Region_001,Cassava,2017,136839,501551
Region_001,Cassava,2017,152899,565014
Region_001,Cassava,2017,74550,597644
Region_001,Cassava,2017,172496,496152
Region_001,Cassava,2018,80469,920634
Region_001,Cassava,2018,172131,972748
Region_001,Cassava,2018,166666,319233
Region_001,Cassava,2018,164661,216421
Region_001,Cassava,2019,123085,373091
Region_001,Cassava,2019,139732,1000000
Region_001,Cassava,2019,169622,1000000
Region_001,Cassava,2019,65543,616462
Region_001,Cassava,2020,206580,461661
Region_001,Cassava,2020,174441,514069
Region_001,Cassava,2020,65724,971133
Region_001,Cassava,2020,27090,823850
Region_001,Cassava,2021,126518,868941
Region_001,Cassava,2021,194007,759181
Region_001,Cassava,2021,219692,373098
Region_001,Cassava,2021,66743,219141
Region_001,Cassava,2022,138006,681029
Region_001,Cassava,2022,169962,743448
Region_001,Cassava,2022,134418,385021
Region_001,Cassava,2022,64147,129742
Region_001,Cassava,2023,196139,439350
Region_001,Cassava,2023,159240,917474
Region_001,Cassava,2023,159043,131520
Region_001,Cassava,2023,120518,919780
Region_001,Cassava,2024,126496,784874
Region_001,Cassava,2024,106122,383844
Region_001,Cassava,2024,249854,873086
Region_001,Cassava,2024,227231,286406
Region_001,Yam,2010,147488,460915
Region_001,Yam,2010,107806,361503
Region_001,Yam,2010,173227,700478
Region_001,Yam,2010,25921,988637
Region_001,Yam,2011,176987,220344
Region_001,Yam,2011,164504,120505
Region_001,Yam,2011,104744,813831
Region_001,Yam,2011,70292,734529
Region_001,Yam,2012,126794,73980
Region_001,Yam,2012,98758,905322
Region_001,Yam,2012,152326,382762
Region_001,Yam,2012,63820,806954
Region_001,Yam,2013,133421,889853
Region_001,Yam,2013,88322,679187
Region_001,Yam,2013,118428,352411
Region_001,Yam,2013,126851,517876
Region_001,Yam,2014,129954,158801
Region_001,Yam,2014,206334,735904
Region_001,Yam,2014,201067,276003
Region_001,Yam,2014,155984,397898
Region_001,Yam,2015,79666,891721
Region_001,Yam,2015,141689,964026
Region_001,Yam,2015,201426,648780
Region_001,Yam,2015,96502,762827
Region_001,Yam,2016,231304,175795
Region_001,Yam,2016,133517,557112
Region_001,Yam,2016,184599,104635
Region_001,Yam,2016,228731,761888
Region_001,Yam,2017,124513,443543
Region_001,Yam,2017,188826,751492
Region_001,Yam,2017,165081,712798
Region_001,Yam,2017,206895,417375
Region_001,Yam,2018,138004,365533
Region_001,Yam,2018,79994,54956
Region_001,Yam,2018,93534,596713
Region_001,Yam,2018,197284,767293
Region_001,Yam,2019,124427,897958
Region_001,Yam,2019,163032,788813
Region_001,Yam,2019,100673,771183
Region_001,Yam,2019,87036,155703
Region_001,Yam,2020,180576,833440
Region_001,Yam,2020,265447,267018
Region_001,Yam,2020,255086,681242
Region_001,Yam,2020,213013,333653
Region_001,Yam,2021,186391,800802
Region_001,Yam,2021,181617,108067
Region_001,Yam,2021,238069,692943
Region_001,Yam,2021,169947,100272
Region_001,Yam,2022,209421,321499
Region_001,Yam,2022,200360,682319
Region_001,Yam,2022,63093,1000000
Region_001,Yam,2022,125816,463900
Region_001,Yam,2023,56815,648328
Region_001,Yam,2023,144340,939756
Region_001,Yam,2023,194262,921253
Region_001,Yam,2023,176595,343309
Region_001,Yam,2024,75961,951139
Region_001,Yam,2024,166354,119315
Region_001,Yam,2024,162436,456023
Region_001,Yam,2024,156628,358995
Region_002,Wheat,2010,95253,450191
Region_002,Wheat,2010,113993,152206
Region_002,Wheat,2010,13584,938278
Region_002,Wheat,2010,135675,798635
Region_002,Wheat,2011,80191,369524
Region_002,Wheat,2011,138510,85467
Region_002,Wheat,2011,108572,252304
Region_002,Wheat,2011,168040,108247
Region_002,Wheat,2012,118089,744977
Region_002,Wheat,2012,92974,210610
Region_002,Wheat,2012,59933,261671
Region_002,Wheat,2012,90766,450711
Region_002,Wheat,2013,104191,161916
Region_002,Wheat,2013,86365,177376
Region_002,Wheat,2013,100558,597475
Region_002,Wheat,2013,118754,992257
Region_002,Wheat,2014,122751,379204
Region_002,Wheat,2014,177370,867250
Region_002,Wheat,2014,151938,723542
Region_002,Wheat,2014,190917,747688
Region_002,Wheat,2015,69049,460134
Region_002,Wheat,2015,116040,620285
Region_002,Wheat,2015,70761,678554
Region_002,Wheat,2015,113806,594396
Region_002,Wheat,2016,173430,431204
Region_002,Wheat,2016,177847,76908
Region_002,Wheat,2016,162229,182106
Region_002,Wheat,2016,109350,100172
Region_002,Wheat,2017,45952,968038
Region_002,Wheat,2017,152752,543736
Region_002,Wheat,2017,115806,396339
Region_002,Wheat,2017,148544,1000000
Region_002,Wheat,2018,189403,358627
Region_002,Wheat,2018,122125,460313
Region_002,Wheat,2018,213799,1000000
Region_002,Wheat,2018,66488,741877
Region_002,Wheat,2019,64764,668130
Region_002,Wheat,2019,207537,149550
Region_002,Wheat,2019,118051,750639
Region_002,Wheat,2019,21627,708714
Region_002,Wheat,2020,500,446801
Region_002,Wheat,2020,161547,525464
Region_002,Wheat,2020,198670,1000000
Region_002,Wheat,2020,153108,273976
Region_002,Wheat,2021,123650,355716
Region_002,Wheat,2021,182132,942588
Region_002,Wheat,2021,157874,827745
Region_002,Wheat,2021,153918,677031
Region_002,Wheat,2022,130120,586831
Region_002,Wheat,2022,196678,144872
Region_002,Wheat,2022,178475,785369
Region_002,Wheat,2022,161995,475462
Region_002,Wheat,2023,121214,766725
Region_002,Wheat,2023,75014,736321
Region_002,Wheat,2023,136526,525098
Region_002,Wheat,2023,94021,718888
Region_002,Wheat,2024,245025,863585
Region_002,Wheat,2024,178272,663954
Region_002,Wheat,2024,192301,152747
Region_002,Wheat,2024,231539,598632
Region_002,Rice,2010,129530,687771
Region_002,Rice,2010,100619,836464
Region_002,Rice,2010,64259,213916
Region_002,Rice,2010,167814,974579
Region_002,Rice,2011,105332,712521
Region_002,Rice,2011,121459,342283
Region_002,Rice,2011,170294,749044
Region_002,Rice,2011,70521,248697
Region_002,Rice,2012,147263,846748
Region_002,Rice,2012,60747,799904
Region_002,Rice,2012,146175,419541
Region_002,Rice,2012,117923,825698
Region_002,Rice,2013,62169,366109
Region_002,Rice,2013,131662,213319
Region_002,Rice,2013,198714,473093
Region_002,Rice,2013,209850,209600
Region_002,Rice,2014,60258,769435
Region_002,Rice,2014,144274,523815
Region_002,Rice,2014,180991,439144
Region_002,Rice,2014,86027,408575
Region_002,Rice,2015,99379,458567
Region_002,Rice,2015,136776,950067
Region_002,Rice,2015,84593,62872
Region_002,Rice,2015,500,638333
Region_002,Rice,2016,56673,132744
Region_002,Rice,2016,120667,170218
Region_002,Rice,2016,138956,383066
Region_002,Rice,2016,119476,834447
Region_002,Rice,2017,74404,897177
Region_002,Rice,2017,163145,520490
Region_002,Rice,2017,100390,873727
Region_002,Rice,2017,120707,673848
Region_002,Rice,2018,86875,209655
Region_002,Rice,2018,111468,104538
Region_002,Rice,2018,222897,206755
Region_002,Rice,2018,161126,276877
Region_002,Rice,2019,217302,990490
Region_002,Rice,2019,244918,227875
Region_002,Rice,2019,67083,497005
Region_002,Rice,2019,159655,805817
Region_002,Rice,2020,153310,392872
Region_002,Rice,2020,233685,70005
Region_002,Rice,2020,166430,456898
Region_002,Rice,2020,204899,1000000
Region_002,Rice,2021,121675,321827
Region_002,Rice,2021,158555,248115
Region_002,Rice,2021,117464,771703
Region_002,Rice,2021,169598,640449
Region_002,Rice,2022,181946,239425
Region_002,Rice,2022,137943,671714
Region_002,Rice,2022,126603,975503
Region_002,Rice,2022,170939,968185
Region_002,Rice,2023,136353,821422
Region_002,Rice,2023,165371,500590
Region_002,Rice,2023,138200,430458
Region_002,Rice,2023,119130,999527
Region_002,Rice,2024,257984,200533
Region_002,Rice,2024,146883,260368
Region_002,Rice,2024,225650,490770
Region_002,Rice,2024,162111,695163
Region_002,Maize,2010,118515,100303
Region_002,Maize,2010,125528,736879
Region_002,Maize,2010,140646,794514
Region_002,Maize,2010,150593,230694
Region_002,Maize,2011,167728,89961
Region_002,Maize,2011,66096,687073
Region_002,Maize,2011,12843,579799
Region_002,Maize,2011,119498,545476
Region_002,Maize,2012,108905,880209
Region_002,Maize,2012,130784,187699
Region_002,Maize,2012,500,131856
Region_002,Maize,2012,116661,732489
Region_002,Maize,2013,215215,868882
Region_002,Maize,2013,138359,362553
Region_002,Maize,2013,58020,901307
Region_002,Maize,2013,129436,996909
Region_002,Maize,2014,223185,729511
Region_002,Maize,2014,59907,1000000
Region_002,Maize,2014,94838,925402
Region_002,Maize,2014,205682,454394
Region_002,Maize,2015,111632,501962
Region_002,Maize,2015,110251,1000000
Region_002,Maize,2015,153888,954947
Region_002,Maize,2015,69970,340394
Region_002,Maize,2016,144118,972714
Region_002,Maize,2016,135075,807219
Region_002,Maize,2016,112381,266618
Region_002,Maize,2016,24163,944099
Region_002,Maize,2017,87593,963871
Region_002,Maize,2017,168559,888954
Region_002,Maize,2017,102193,992770
Region_002,Maize,2017,108746,707560
Region_002,Maize,2018,69965,766911
Region_002,Maize,2018,100616,97026
Region_002,Maize,2018,109409,159386
Region_002,Maize,2018,120992,688331
Region_002,Maize,2019,82416,883704
Region_002,Maize,2019,80409,664101
Region_002,Maize,2019,124075,390967
Region_002,Maize,2019,500,870888
Region_002,Maize,2020,191403,1000000
Region_002,Maize,2020,138237,737960
Region_002,Maize,2020,123198,526024
Region_002,Maize,2020,160952,761427
Region_002,Maize,2021,79632,615054
Region_002,Maize,2021,119937,678807
Region_002,Maize,2021,94545,962465
Region_002,Maize,2021,79725,746827
Region_002,Maize,2022,148520,401810
Region_002,Maize,2022,174603,967750
Region_002,Maize,2022,160987,665448
Region_002,Maize,2022,129514,767548
Region_002,Maize,2023,189962,219798
Region_002,Maize,2023,186440,726805
Region_002,Maize,2023,132632,785221
Region_002,Maize,2023,152652,351997
Region_002,Maize,2024,158542,980702
Region_002,Maize,2024,31255,432812
Region_002,Maize,2024,111622,254919
Region_002,Maize,2024,169135,948212
Region_002,Barley,2010,59559,301865
Region_002,Barley,2010,93865,802156
Region_002,Barley,2010,76194,425203
Region_002,Barley,2010,73491,668483
Region_002,Barley,2011,111140,110454
Region_002,Barley,2011,100953,77526
Region_002,Barley,2011,166239,81473
Region_002,Barley,2011,128213,615762
Region_002,Barley,2012,73673,87818
Region_002,Barley,2012,49795,802645
Region_002,Barley,2012,58474,356738
Region_002,Barley,2012,73484,713872
Region_002,Barley,2013,85537,395834
Region_002,Barley,2013,38627,962769
Region_002,Barley,2013,208363,983741
Region_002,Barley,2013,115718,781423
Region_002,Barley,2014,190061,624232
Region_002,Barley,2014,105849,571879
Region_002,Barley,2014,177123,839289
Region_002,Barley,2014,97995,305926
Region_002,Barley,2015,106430,705284
Region_002,Barley,2015,65089,464622
Region_002,Barley,2015,37528,289255
Region_002,Barley,2015,80149,346303
Region_002,Barley,2016,160995,586997
Region_002,Barley,2016,100484,617512
Region_002,Barley,2016,104509,878654
Region_002,Barley,2016,197064,188987
Region_002,Barley,2017,119836,196211
Region_002,Barley,2017,72889,487070
Region_002,Barley,2017,88650,776465
Region_002,Barley,2017,182203,343441
Region_002,Barley,2018,94669,509698
Region_002,Barley,2018,115031,846547
